Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,District,Price_USD
2,1,18,4,3.0,74,3,1,0.0,2,Կենտրոն,101900.0
1,0,4,3,2.75,75,3,1,0.0,0,Քանաքեռ-Զեյթուն,76000.0
0,0,5,4,2.75,52,2,1,0.0,2,Նոր Նորք,70000.0
1,0,9,2,2.75,65,2,1,2.0,2,Կենտրոն,180000.0
1,0,16,2,2.75,93,4,1,2.0,0,Քանաքեռ-Զեյթուն,110000.0
1,0,16,2,2.75,104,4,1,2.0,1,Կենտրոն,187000.0
0,0,5,5,2.75,37,1,1,2.0,0,Էրեբունի,64000.0
0,0,8,3,2.8,66,2,1,0.5,0,Կենտրոն,160000.0
0,0,5,4,2.75,115,3,2,2.0,0,Արաբկիր,255000.0
2,1,9,4,3.0,95,4,1,2.0,2,Քանաքեռ-Զեյթուն,210000.0
1,0,11,4,2.75,88,3,1,0.0,3,Կենտրոն,225000.0
0,0,4,2,3.2,74,3,1,2.0,2,Կենտրոն,192950.0
1,0,14,12,2.75,82,3,1,2.0,1,Աջափնյակ,95000.0
0,0,5,5,3.0,45,3,1,2.0,1,Արաբկիր,95000.0
2,1,10,6,3.0,90,3,1,3.0,3,Աջափնյակ,116000.0
2,1,15,8,3.0,80,3,2,2.0,2,Կենտրոն,245000.0
2,1,13,7,3.0,79,3,2,0.0,2,Արաբկիր,156446.0
1,0,14,12,2.75,118,4,1,1.5,2,Ավան,128000.0
1,0,9,1,2.75,58,2,1,0.0,0,Աջափնյակ,78000.0
0,0,5,3,2.5,64,3,1,2.0,1,Քանաքեռ-Զեյթուն,79500.0
0,0,5,2,2.75,110,4,2,2.0,3,Մալաթիա-Սեբաստիա,130000.0
1,0,11,8,2.8,44,2,1,3.0,1,Կենտրոն,95000.0
1,0,12,4,2.75,88,3,2,1.5,3,Արաբկիր,125000.0
1,0,9,3,2.75,76,3,1,0.0,1,Նոր Նորք,85000.0
1,0,10,6,2.7,100,3,1,3.0,3,Շենգավիթ,125000.0
2,1,14,2,3.0,107,3,2,3.0,0,Կենտրոն,245000.0
0,0,4,3,3.2,50,2,1,2.0,1,Կենտրոն,178000.0
2,1,16,14,3.0,56,2,1,0.0,2,Քանաքեռ-Զեյթուն,102000.0
0,0,4,4,2.75,30,1,1,4.0,2,Աջափնյակ,68000.0
0,0,5,3,3.5,57,3,1,2.0,2,Արաբկիր,133000.0
1,0,14,12,3.2,84,3,2,4.0,0,Կենտրոն,130000.0
1,0,16,10,2.75,79,3,2,2.0,3,Աջափնյակ,100000.0
1,0,14,3,3.0,83,3,1,0.0,0,Դավթաշեն,115000.0
1,0,10,8,2.75,72,3,1,3.0,0,Արաբկիր,135000.0
0,0,5,3,2.75,78,3,1,1.0,0,Արաբկիր,130000.0
1,0,12,11,2.7,64,2,1,1.5,0,Նոր Նորք,78000.0
0,0,5,3,3.2,47,2,1,0.5,2,Արաբկիր,120000.0
1,0,16,10,2.75,98,3,2,3.0,0,Նոր Նորք,105000.0
2,1,12,7,3.0,54,3,1,2.0,2,Շենգավիթ,125000.0
2,1,15,11,3.0,115,3,2,2.0,2,Քանաքեռ-Զեյթուն,345000.0
0,0,6,6,2.8,59,1,1,3.0,1,Կենտրոն,175000.0
1,0,5,1,2.75,74,3,2,2.0,0,Նոր Նորք,90000.0
1,0,9,9,2.8,86,3,1,0.5,0,Շենգավիթ,117500.0
0,0,5,3,3.2,90,2,1,3.0,0,Շենգավիթ,175000.0
