Price,Type,New_building,nFloor,Floor,Height,Sqm,Rooms,Bathrooms,Renovation,Balcony,Currency,District
154000.0,Մոնոլիտ,Այո,20,20,3.0,84,2,1,Չվերանորոգված,Բաց պատշգամբ,$,Արաբկիր
135000.0,Քարե,Ոչ,9,4,3.0,90,4,1,Դիզայներական ոճով վերանորոգված,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
84000.0,Պանելային,Ոչ,5,5,2.7,51,2,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Նոր Նորք
148000.0,Պանելային,Ոչ,9,3,2.75,76,3,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Դավթաշեն
57000000.0,Մոնոլիտ,Այո,3,3,3.0,89,3,2,Չվերանորոգված,Բաց պատշգամբ,֏,Նոր Նորք
33300000.0,Մոնոլիտ,Այո,16,4,3.0,63,2,1,Չվերանորոգված,Բաց պատշգամբ,֏,Աջափնյակ
129000.0,Քարե,Ոչ,5,5,2.8,72,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Արաբկիր
230000.0,Քարե,Ոչ,5,2,3.0,37,2,1,Եվրովերանորոգված,Առկա չէ,$,Կենտրոն
102000.0,Պանելային,Ոչ,14,4,2.75,81,3,1,Հին վերանորոգում,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
32000000.0,Մոնոլիտ,Այո,13,10,3.0,55,2,1,Չվերանորոգված,Բաց պատշգամբ,֏,Ավան
143000.0,Պանելային,Ոչ,9,5,2.75,91,4,1,Կոսմետիկ վերանորոգում,Առկա չէ,$,Կենտրոն
110000.0,Քարե,Ոչ,2,2,2.8,96,4,1,Եվրովերանորոգված,Փակ պատշգամբ,$,Նոր Նորք
60000000.0,Մոնոլիտ,Այո,6,6,2.8,68,3,2,Կապիտալ վերանորոգված,Բաց պատշգամբ,֏,Նոր Նորք
71500.0,Մոնոլիտ,Ոչ,11,6,3.0,55,2,1,Մասնակի վերանորոգում,Առկա չէ,$,Նոր Նորք
80000.0,Քարե,Ոչ,5,5,2.7,56,2,1,Հին վերանորոգում,Փակ պատշգամբ,$,Էրեբունի
220000.0,Քարե,Ոչ,4,4,3.2,66,3,1,Դիզայներական ոճով վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
135000.0,Քարե,Ոչ,5,2,2.8,55,3,2,Եվրովերանորոգված,Առկա չէ,$,Կենտրոն
65000.0,Պանելային,Ոչ,10,5,2.75,40,1,1,Կոսմետիկ վերանորոգում,Փակ պատշգամբ,$,Շենգավիթ
158000.0,Քարե,Ոչ,7,3,2.75,54,2,1,Կապիտալ վերանորոգված,Բաց պատշգամբ,$,Կենտրոն
125000.0,Մոնոլիտ,Այո,16,8,3.0,80,3,1,Չվերանորոգված,Բաց պատշգամբ,$,Արաբկիր
186000.0,Պանելային,Ոչ,16,16,2.75,169,5,2,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Կենտրոն
85000.0,Պանելային,Ոչ,9,8,2.75,67,2,2,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Մալաթիա-Սեբաստիա
110000.0,Պանելային,Ոչ,5,4,2.8,74,3,1,Կապիտալ վերանորոգված,Փակ պատշգամբ,$,Աջափնյակ
